project,t1,t2,ratio
lexspoon_scalagwt-gwt,JDBC,JPA,0.0
chkal_wjax11-demo,JDBC,JPA,0.0
biemond_jdev11g_examples,JDBC,JPA,1.0
sandermak_JavaMisc,JDBC,JPA,0.0
znicholas_obase,JDBC,JPA,0.0
jtamayo_pepe,JDBC,JPA,0.0033333334
lyubo_play-ebean,JDBC,JPA,0.0
apache_archiva,JDBC,JPA,0.0
OpenGamma_OG-Platform,JDBC,JPA,0.0
openmicroscopy_openmicroscopy,JDBC,JPA,0.0
Blockhead2_Catacombs,JDBC,JPA,0.0
ReunionDev_reunion,JDBC,JPA,0.0
ebayopensource_turmeric-monitoring,JDBC,JPA,0.0
betty-gwtp_betty,JDBC,JPA,0.0
mifos_head,JDBC,JPA,0.0
ancoron_pg-inet-maven,JDBC,JPA,0.15384616
brix-cms_brix-cms,JDBC,JPA,0.0
idega_com.idega.content,JDBC,JPA,0.0
IvanLazov_examples,JDBC,JPA,0.0
rcarvalhoxavier_Timesheet,JDBC,JPA,0.0
Belphemur_AdminCmd,JDBC,JPA,0.0
apache_openejb,JDBC,JPA,0.0
mosabsalih_jBilling,JDBC,JPA,0.0
GuntherDW_TweakcraftUtils,JDBC,JPA,1.0
picocontainer_picocontainer,JDBC,JPA,0.0
tedeling_ehour,JDBC,JPA,0.0
dhanji_sitebricks,JDBC,JPA,0.0
apache_aries,JDBC,JPA,0.0
Jasig_uPortal,JDBC,JPA,0.0
mgwillem_MaGiQuotes,JDBC,JPA,0.5
droolsjbpm_jbpm,JDBC,JPA,0.0
mtnoronha_AgendaNortev,JDBC,JPA,0.0
endymuhardin_belajar-restful,JDBC,JPA,0.0
aaberg_sql2o,JDBC,JPA,0.0
mandubian_play-siena,JDBC,JPA,0.0
andygibson_datavalve,JDBC,JPA,0.0
jpaoletti_java-presentation-manager,Hibernate,JPA,0.0
cmoulliard_camel-osgi-servicemix-tutorial,Hibernate,JPA,1.0
joedayz_corespring,Hibernate,JPA,0.33333334
sabio_CosasDeBugDeveloper,Hibernate,JPA,0.0
ichatz_wiseml,Hibernate,JPA,0.71428573
societies_SOCIETIES-Platform,Hibernate,JPA,0.0
sanger-pathogens_GeneDB,Hibernate,JPA,0.0
hibernate_hibernate-tools,Hibernate,JPA,0.0
SpringSource_spring-batch,Hibernate,JPA,1.0
abiquo_abiquo,Hibernate,JPA,0.0
grisu_grisu,Hibernate,JPA,0.75
gridgain_gridgain,Hibernate,JPA,0.5
CONNECT-Solution_CONNECT,Hibernate,JPA,0.0
riotfamily_riot,Hibernate,JPA,0.90909094
rasea_server,Hibernate,JPA,0.0
INCF_eeg-database,Hibernate,JPA,0.8
avshabanov_java-maven-tests,Hibernate,JPA,0.33333334
mariuszs_openxava,Hibernate,JPA,0.0
nasa_mct,Hibernate,JPA,0.0
rongjihuang_bc-framework,Hibernate,JPA,1.0
mcarniel_oswing,Hibernate,JPA,0.0
Silverpeas_Silverpeas-Components,Hibernate,JPA,0.7
istlab_Alitheia-Core,Hibernate,JPA,0.5
apache_roller,Hibernate,JPA,0.0
picketlink_picketlink-idm,Hibernate,JPA,0.0
grails_grails-core,Hibernate,JPA,0.0
liquibase_liquibase-hibernate,Hibernate,JPA,0.0
beangle_library,Hibernate,JPA,0.11111111
joedayz_faces,Hibernate,JPA,0.0
kimchy_compass,Hibernate,JPA,0.0
teachus_teachus,Hibernate,JPA,0.16666667
wicketstuff_sandbox,Hibernate,JPA,0.0
cmoulliard_devoxx-2011-hands-on-lab,Hibernate,JPA,1.0
fbihack_portlets,Hibernate,JPA,1.0
OpenGamma_OG-Platform,Hibernate,JPA,0.33333334
openmicroscopy_openmicroscopy,Hibernate,JPA,0.0
mifos_head,Hibernate,JPA,0.02406417
picocontainer_picocontainer,Hibernate,JPA,0.0
tedeling_ehour,Hibernate,JPA,0.071428575
metawidget_metawidget,Hibernate,JPA,0.0
droolsjbpm_jbpm,Hibernate,JPA,1.0
dusken_aranea,JPA,JDBC,0.0
hasalex_arquillian-demo,JPA,JDBC,0.0
eclipse_jubula.core,JPA,JDBC,0.0
arquillian_arquillian-extension-persistence,JPA,JDBC,0.0
computerlove_Duskenmedarbeidere,JPA,JDBC,0.0
42BV_jarb,JPA,JDBC,0.0
santiagozky_harmony,JPA,JDBC,0.0
rotterdam-cs_rcsnewsletter,JPA,JDBC,0.0
brix-cms_brix-cms-plugins,JPA,JDBC,0.0
joedayz_corespring,JPA,JDBC,0.0
nuxeo_nuxeo-features,JPA,JDBC,0.0
opower_jpile,JPA,JDBC,0.0
sabio_CosasDeBugDeveloper,JPA,JDBC,0.0
hibernate_hibernate-ogm,JPA,JDBC,0.0
dagi_spring-training,JPA,JDBC,0.0
marcelo68ms_GAC,JPA,JDBC,0.0
garyrussell_spring-integration-ha-demo,JPA,JDBC,1.0
droolsjbpm_droolsjbpm-contributed-experiments,JPA,JDBC,0.0
societies_SOCIETIES-Platform,JPA,JDBC,0.0
jbehave_jbehave-core,JPA,JDBC,0.0
nhnopensource_ngrinder,JPA,JDBC,0.0
diegopacheco_Diego-Pacheco-Sandbox,JPA,JDBC,0.0
hibernate_hibernate-tools,JPA,JDBC,0.0
EMC-CloudTeam_Plants,JPA,JDBC,0.0
KubSU-edu-cube_edu-cube,JPA,JDBC,0.0
DSpace_dspace-rest,JPA,JDBC,0.8888889
savara_savara-core,JPA,JDBC,0.0
hhlai1990_rapid,JPA,JDBC,0.0
tawus_tawus,JPA,JDBC,0.0
SpringSource_spring-data-envers,JPA,JDBC,0.0
abiquo_abiquo,JPA,JDBC,0.0
Raphfrk_Server-Port-Warps,JPA,JDBC,0.0
michaeldejong_EveNexus,JPA,JDBC,0.29411766
lu4242_performance-comparison-java-web-frameworks,JPA,JDBC,0.0
stoicflame_enunciate,JPA,JDBC,0.0
rafaelsteil_jforum3,JPA,JDBC,0.0
resthub_resthub-spring-stack,JPA,JDBC,0.0
SpringSource_spring-data-jpa-examples,JPA,JDBC,0.0
societies_SOCIETIES-SCE-Services,JPA,JDBC,0.0
forge_core,JPA,JDBC,0.0
gridgain_gridgain,JPA,JDBC,0.0
ciudadanointeligente_legislativo-api-java,JPA,JDBC,0.045454547
thrawn01_Spring-Jersey-Hibernate-DbUnit-Example,JPA,JDBC,0.0
spreadthesource_wooki,JPA,JDBC,0.0
StanBertrand_bank,JPA,JDBC,0.0
agoncal_agoncal-application-petstore-ee6,JPA,JDBC,0.0
jeberma_example,JPA,JDBC,0.0
INCF_eeg-database,JPA,JDBC,0.048076924
