date,jpa-files,jdbc-files,hibernate-files,jpa-projects,jdbc-projects,hibernate-projects
2008-11,1649,6342,815,47,193,41
2008-12,1694,6280,835,49,194,41
2009-01,1813,6348,833,51,198,41
2009-02,1977,6520,815,55,211,41
2009-03,2041,6665,1022,58,218,43
2009-04,2234,6779,1027,61,220,40
2009-05,2388,6908,1054,62,228,44
2009-06,2502,7156,1084,67,237,44
2009-07,2683,7469,817,68,243,44
2009-08,2883,7878,986,73,252,46
2009-09,3038,8539,1034,78,257,48
2009-10,3246,8987,1218,80,266,51
2009-11,3342,9180,1217,81,272,50
2009-12,3491,9302,1233,88,288,51
2010-01,3563,9631,1247,92,293,53
2010-02,3931,9486,1323,98,309,56
2010-03,3787,9202,1144,101,317,56
2010-04,4048,9530,1181,111,330,59
2010-05,4217,9534,1216,118,337,59
2010-06,4328,8735,1230,127,350,60
2010-07,4411,8962,1232,129,360,58
2010-08,4494,9173,1272,135,371,56
2010-09,4684,10124,1303,144,390,58
2010-10,4809,10372,1364,155,400,62
2010-11,5072,10586,1412,169,417,65
2010-12,5156,10586,1392,172,428,63
2011-01,5292,10774,1472,181,445,67
2011-02,5561,11242,1494,188,453,67
2011-03,5716,11597,1530,196,470,73
2011-04,5831,11438,1591,206,485,75
2011-05,5905,10964,1601,221,508,76
2011-06,6458,11225,1612,244,537,80
2011-07,6767,11753,1596,263,557,78
2011-08,7006,12243,1658,270,584,84
2011-09,7516,12428,1651,293,609,84
2011-10,5892,12383,2192,298,626,84
2011-11,6164,12404,2111,308,660,82
2011-12,6328,13526,2025,326,709,81
2012-01,6342,13555,2096,335,733,81
2012-02,6622,14313,2117,356,761,81
2012-03,6958,14408,2123,368,783,80
2012-04,7447,15565,2126,383,819,80
2012-05,7661,15621,2114,388,843,82
2012-06,7823,15467,2007,396,851,82
2012-07,8043,16234,1622,401,851,83
2012-08,7922,15571,1902,401,846,84
2012-09,7943,15223,1928,390,826,83
2012-10,7650,14892,1932,372,809,81
2012-11,7704,14675,1902,359,793,80
2012-12,7871,14730,1929,356,791,80
2013-01,7765,14632,1711,349,770,76
2013-02,7614,14406,1703,343,754,73
2013-03,7521,14305,1707,336,738,74
2013-04,7601,14415,1712,327,725,74
2013-05,7234,14282,1706,322,713,71
2013-06,7163,13993,1694,309,691,70
2013-07,7122,14026,1645,301,684,66
2013-08,7046,14159,1650,297,667,65
2013-09,7107,14021,1657,290,658,64
2013-10,6859,13852,1654,285,648,61
2013-11,6339,13660,1614,274,633,59
2013-12,6280,13753,1614,270,616,61
2014-01,6225,13537,1617,262,600,61
2014-02,5986,13169,1567,250,583,58
2014-03,5819,13137,1551,243,571,58
2014-04,5917,13095,1511,237,553,52
2014-05,5831,13261,1511,224,544,50
2014-06,5872,13175,1455,217,526,47
2014-07,5455,12368,1278,202,511,43
2014-08,5287,12282,1275,188,491,41
2014-09,5170,12041,1268,180,471,39
2014-10,5149,11726,1270,175,459,39
2014-11,5067,11011,1262,160,433,38
2014-12,4946,10800,1261,152,404,37
2015-01,4822,10077,1249,142,376,34
2015-02,4430,9623,959,120,337,31
2015-03,4176,8084,914,98,264,28
