project,step,entities,jpa-all,relative-jpa-all,jdbc-all,relative-jdbc-all,hbm-all,relative-hbm-all,jpa,relative-jpa,jdbc,relative-jdbc,hbm,relative-hbm,jpa-jdbc,relative-jpa-jdbc,jpa-hbm,relative-jpa-hbm,jdbc-hbm,relative-jdbc-hbm,jpa-jdbc-hbm,relative-jpa-jdbc-hbm
restsql_restsql,0.2,10,0,0.0,10,1.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.3,9,0,0.0,9,1.0,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.4,12,0,0.0,12,1.0,0,0.0,0,0.0,12,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.5,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.6,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.7,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.8,17,0,0.0,17,1.0,0,0.0,0,0.0,17,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,0.9,19,0,0.0,19,1.0,0,0.0,0,0.0,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
restsql_restsql,1.0,19,0,0.0,19,1.0,0,0.0,0,0.0,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.0,1,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.1,1,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.2,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.3,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.4,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.5,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.6,3,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.7,3,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.8,3,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,0.9,3,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hamnis_httpcache4j,1.0,3,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.0,45,0,0.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.1,45,0,0.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.2,45,0,0.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.3,45,0,0.0,45,1.0,0,0.0,0,0.0,45,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.4,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.5,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.6,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.7,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.8,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,0.9,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tagette_BossStory,1.0,52,0,0.0,52,1.0,0,0.0,0,0.0,52,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.0,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.1,3,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.2,3,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.3,3,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.4,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.5,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.6,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.7,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.8,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,0.9,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
eclipse_cdo,1.0,5,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.0,35,0,0.0,2,0.057142857,33,0.94285715,0,0.0,2,0.057142857,33,0.94285715,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.1,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.2,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.3,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.4,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.5,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.6,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.7,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.8,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,0.9,34,0,0.0,1,0.029411765,33,0.9705882,0,0.0,1,0.029411765,33,0.9705882,0,0.0,0,0.0,0,0.0,0,0.0
dlemery_AndroidPOS,1.0,46,0,0.0,1,0.02173913,45,0.9782609,0,0.0,1,0.02173913,45,0.9782609,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.0,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.1,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.2,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.3,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.4,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.5,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.6,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.7,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.8,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,0.9,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jugvale_jugvale-app-inscricoes,1.0,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
phrstbrn_Jobs,0.0,1,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
phrstbrn_Jobs,0.1,2,0,0.0,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
phrstbrn_Jobs,0.2,5,0,0.0,5,1.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
